  Πιο γρήγορη παραλαβή δεν έχω ξανά πετυχει σε κατάστημα! Παρηγγειλα λαπτοπ πεμπτη απόγευμα και παρασκευη πρωι 9 η ώρα ήρθε! Από φυσικό κατάστημα πιο αργά θα το παιρνα που λέει ο λογος. Πολυ καλη εξυπηρέτηση και συνεχής ενημέρωση της κατάστασης της αποστολής! Συγχαρητήρια  και ευχαριστώ    ,Positive
  Αγόρασα ένα λογοτεχνικό βιβλίο από αυτό το κατάστημα το οποίο μου ήρθε μέσα σε δύο μέρες αυτό που μου άρεσε από το κατάστημα είναι η χαμηλές τιμές  η μεγάλη γκάμα σε βιβλία και η άμεση παράδωση.     ,Positive
  Αγόρασα ένα βιβλίο από αυτό το κατάστημα σε πολύ καλή τιμή το οποίο ήρθε σε μόλις δύο μέρες και εμένα αυτό που μου άρεσε ήταν η γρήγορη ενημέρωση για την εξέλιξη τις παραγγελίας.     ,Positive
  Αποστολή μέσα σε τρεις μέρες καλή τιμή για το κινητό που αγόρασα.     ,Positive
  Πολύ καλές τιμές και πολλά βιβλία όλων των ειδών.     ,Positive
  Καλή επαγγελματίες!!!!     ,Positive
  Εξυπηρετηκό προσωπικό και χαμηλές τιμές.     ,Positive
  Καλές τιμές σε όλα τα προϊόντα και παράδοση μέσα σε δύο μέρες     ,Positive
  Μεγάλη ποικιλία σε βιβλία όλων των ειδών και χαμηλές τιμές.     ,Positive
  Πολύ γρήγορη απάντηση από το τηλεφωνικό κέντρο του καταστήματος.     ,Positive
  Καλές τιμές και παράδωση προϊντος μέσα σε δύο μέρες.     ,Positive
  Πολύ καλές τιμές σε προϊόντα κινητής τηλεφωνίας!     ,Positive
  Εξαιρετικό κατάστημα  πολύ καλή εμπειρία το να κάνεις παραγγελία από αυτό!    ,Positive
  Δεν έχω κανένα παράπονο αποτον πολητή     ,Positive
  Η παραγγελία έφτασε με μία μέρα καθυστέρηση  χωρίς αυτό να αποτελεί ιδιαίτερο πρόβλημα. Την προηγούμενη μέρα της παραλαβής και αφού είχα επικοινωνήσει με την courier (ΕΛΤΑ) με ενημέρωσαν ότι δεν έχουν λάβει ακόμη το δέμα  ενώ στο site του καταστήματος φαίνονταν ότι είχε παραδοθεί πρίν από 2 ημέρες. Μετά από επικοινωνία με το κατάστημα  μου είπαν ότι θα ψάξουν αν έχει γίνει κάποιο λάθος και θα με πάρουν τηλέφωνο. Τηλέφωνο δεν με πήραν ποτέ αλλά η παραγγελία έφτασε. Τέλος καλό  όλα καλά.     ,Positive
  Το προϊόν  ήταν μια τηλεόραση  Φίλιπς.. εξερετικό το κατάστημα πολύ γρήγορη παράδοση και πολύ καλή τιμή.. το προτείνω ανεπιφύλακτα!!     ,Positive
  Καλές τιμές και άμεση απάντηση από το τηλεφωνικό κέντρο του καταστήματος.     ,Positive
  Καλές τιμές και παράδοση προϊόντος μέσα σε δύο μέρες.     ,Positive
  Μου επεστρεψαν αμεσα τα χρηματα για ενα ελλατωματικο προιον και κανονισαν την παραλαβη του!     ,Positive
  Πολύ καλή τηλεφωνική εξυπηρέτηση προ-παραγγελίας. Γρήγορη παράδοση  ευγενικός ο οδηγός της παράδοσης.  Μειονέκτημα... Πλήρωσα παράδοση στον 1ο όροφο  κάτι το οποίο δεν αναφερόταν στα χαρτιά παράδοσης κι έπρεπε να δείξω στον οδηγό το email παραγγελίας για να του το αποδείξω. Εκτός αυτού  υπήρχε μόνο ο οδηγός. Κάτι που σημαίνει ότι έπρεπε να τον βοηθήσω στην μεταφορά στον 1ο όροφο.   Προσωπικά θα πρότεινα σε όσους κάνουν παραγγελίες  να μην πληρώνεται η παράδοση σε όροφο και να τα βρίσκουν επί τόπου με τον εκάστοτε οδηγό.     ,Positive
  Το μόνο αρνητικό ήταν ότι ενώ είμαι κοντά στο κατάστημα και με βόλευε να κάνω την παραλαβή απευθείας από εκεί  μου είπαν πως η πολιτική της εταιρείας είναι τις λευκές συσκευές να της φέρνει στο χώρο σου με μεταφορική (ελάχιστη χρέωση 15€ για παράδοση στο πεζοδρόμιο  η οποία αυξάνονταν ανά όροφο αν επέλεγες στην ανεβάσουν πάνω)    ,Positive
  Μια χαρα όλα  Εφτασαν συντομα  Τα οαρελαβα ενα ενα και οχι όκα μαζί μια και ηταν απο διαφορους πωλητες....  Shell άπσογοι     ,Positive
  Πολύ καλή εμπειρία αγοράς. Το προϊόν ήρθε στην ώρα του  και η ενημέρωση για την παράδοση της παραγγελίας μέσω mail πολύ σωστή!Συστήνεται     ,Positive
  Μέσα σε μία μέρα είχα αυτό που αγόρασα. Μπράβο για την άμεση παραλαβεί και την καλή εξυπηρέτηση!     ,Positive
  Όλα τα προϊόντα είναι σε πολύ καλές τιμές     ,Positive
  Καλές τιμές και πληθώρα προϊόντων.     ,Positive
  Στην αρχη της αγορας λογω καποιου λαθους του προσωπικου ελαβα το σωστο προϊον απ την μια  οχι το επιθυμητο απ την αλλη. Ενω ειχε ανοιχτει το προιον και χρησημοποιηθει για μια ημερα δεχτηκαν με μεγαλη προθυμια να τους επιστρεψω το προιον και να αγορασω το επιθυμητο προιον και προθυμη εξυπηρετηση με εκπτωση σε προσεχης αγορα η μερικη επιστροφη εαν διαλεγα να κρατησω το αρχικο προιον     ,Positive
  Το κατάστημα αυτό έχει προϊόντα σε πολύ χαμηλές τιμές!     ,Positive
  Πολύ ευγενική και επαγγελματική συμπεριφορά.    ,Positive
  Γρηγοροι και αξιοπιστοι.     ,Positive
  Πελατοκεντρικη αντιληψη  πολυ ευγενικο ολο το προσωπικο  με τεχνικο προβλημα που ειχα πηραν πρωτοβουλια και επιλυθηκε εντος 24ωρου! Πολλες πραξεις που πανε την εξυπηρετηση σε αλλο επιπεδο  ολο το team κανει παραπανω απο αυτο που οφειλει!  Ηδη απο την αγορα ειχα καλη εμπειρια και αξιολογω τωρα με αφορμη και το τεχνικο θεμα που ειχε προκυψει! Συγχαρητηρια και παλι και το αναφερω ως ενα αυομο πουθαμε χαρακτηριζα απαιτητικο σαν πελατη.    ,Positive
